variant,conn,tcp_hs,tcp_tls,tls_hs,tls_app,app_resp
hybrid,118,1.468,6.709,6.037,0.19,1.131
hybrid,119,0.925,5.622,5.45,0.145,0.9
hybrid,120,0.925,2.774,4.906,0.144,0.656
hybrid,121,0.794,3.008,5.337,0.191,0.617
hybrid,122,0.802,3.371,4.252,0.123,0.685
hybrid,123,0.793,3.615,6.325,0.231,0.709
hybrid,124,1.276,4.631,4.931,0.32,0.54
hybrid,125,0.892,5.646,6.199,0.418,11.182
hybrid,126,0.937,5.147,7.86,0.139,2.868
hybrid,127,0.941,4.255,8.647,0.279,1.343
hybrid,128,1.104,5.417,9.647,0.268,1.865
hybrid,129,0.988,3.683,10.475,0.215,9.659
hybrid,130,1.936,11.213,38.496,0.21,1.367
hybrid,131,1.131,3.463,7.217,0.226,0.763
hybrid,132,0.967,4.714,10.617,0.252,0.825
hybrid,133,0.974,7.297,6.283,0.581,0.896
hybrid,134,0.959,4.811,12.259,0.243,0.869
hybrid,135,1.339,4.922,6.783,0.236,24.667
hybrid,136,1.03,3.899,11.362,0.261,1.162
hybrid,137,1.488,4.375,6.973,0.147,13.413
hybrid,138,1.242,6.109,9.127,0.663,10.624
hybrid,139,1.086,3.987,14.625,0.2,13.458
hybrid,140,1.372,5.129,6.818,0.64,0.708
hybrid,141,14.13,4.359,12.935,0.378,0.607
hybrid,142,2.869,4.709,5.25,0.246,1.194
hybrid,143,0.975,4.782,10.619,0.154,5.459
hybrid,144,0.925,4.996,5.196,0.386,1.027
hybrid,145,0.844,3.975,5.402,0.223,0.671
hybrid,146,2.782,6.772,6.992,0.697,0.548
hybrid,147,0.857,4.163,4.899,0.17,1.049
hybrid,148,0.869,5.873,5.313,0.241,0.968
hybrid,149,1.269,5.339,8.395,0.216,0.637
hybrid,150,0.928,4.074,4.481,0.178,0.625
hybrid,151,0.942,4.019,22.067,0.151,0.835
hybrid,152,1.821,19.275,12.383,0.28,0.617
hybrid,153,1.255,6.022,15.17,2.438,4.667
hybrid,154,0.874,3.841,5.904,0.227,5.431
hybrid,155,0.848,4.222,5.844,0.245,0.563
hybrid,156,2.849,7.392,5.553,4.661,0.342
hybrid,157,3.049,4.546,4.915,0.505,0.568
hybrid,158,0.963,4.185,5.144,0.142,0.841
hybrid,159,0.771,3.8,22.393,0.234,0.579
hybrid,160,1.29,3.802,4.615,0.14,0.67
hybrid,161,0.79,6.359,5.094,0.128,0.767
hybrid,162,6.357,3.853,4.649,0.168,0.792
hybrid,163,0.993,3.926,10.452,0.139,0.611
hybrid,164,1.056,4.009,6.018,0.181,0.758
hybrid,165,1.01,2.948,4.54,0.151,0.724
hybrid,166,0.97,3.552,4.636,0.272,0.905
hybrid,167,0.984,3.573,4.799,0.136,0.649
hybrid,168,1.017,3.99,4.252,0.157,0.551
hybrid,169,0.935,3.711,4.959,0.138,1.472
hybrid,170,0.9,2.752,4.367,0.098,0.598
hybrid,171,0.912,2.918,4.061,0.121,0.709
hybrid,172,4.287,3.349,4.451,0.29,0.554
hybrid,173,0.923,3.031,4.263,0.128,0.677
hybrid,174,1.134,4.091,6.292,0.164,0.65
hybrid,175,0.996,3.162,3.988,0.121,0.569
hybrid,176,1.128,3.225,5.255,0.153,0.783
hybrid,177,1.156,3.576,5.695,0.139,0.633
hybrid,178,1.18,3.84,4.74,0.138,0.919
