variant,conn,tcp_hs,tcp_tls,tls_hs,tls_app,app_resp
classic,127,1.258,3.341,4.453,0.129,0.598
classic,128,0.788,2.588,3.353,0.088,0.611
classic,129,0.722,2.707,3.356,0.137,0.62
classic,130,0.787,2.672,3.904,0.119,0.674
classic,131,0.871,3.305,5.136,0.192,0.756
classic,132,0.853,3.254,3.457,0.086,0.533
classic,133,0.908,3.571,3.806,0.134,0.54
classic,134,0.788,3.152,3.927,0.165,0.443
classic,135,0.864,3.702,3.908,0.16,0.724
classic,136,2.039,3.255,4.613,0.116,0.894
classic,137,0.81,3.001,3.435,0.11,0.506
classic,138,0.805,2.913,4.056,0.149,0.581
classic,139,0.738,3.193,5.5,0.121,0.643
classic,140,0.757,3.27,4.122,0.143,0.456
classic,141,0.86,3.542,3.868,0.123,0.523
classic,142,0.769,2.97,3.6,0.094,0.469
classic,143,0.801,3.381,3.56,0.239,0.385
classic,144,0.762,2.988,3.551,0.106,0.548
classic,145,0.892,3.024,3.891,0.107,0.722
classic,146,0.925,3.781,3.879,0.132,0.554
classic,147,0.937,2.968,3.532,0.103,0.435
classic,148,0.897,2.626,3.714,0.113,0.468
classic,149,1.335,2.669,4.304,0.126,0.537
classic,150,0.911,3.466,3.668,0.123,0.371
classic,151,1.047,3.508,3.746,0.126,0.516
classic,152,0.768,3.77,3.869,0.216,0.742
classic,153,0.844,3.445,3.605,0.125,0.572
classic,154,0.851,3.953,4.585,0.139,0.54
classic,155,0.845,2.956,4.124,0.116,0.564
classic,156,0.766,2.626,3.503,0.108,0.495
classic,157,1.104,2.526,3.365,0.089,0.515
classic,158,1.055,2.493,3.197,0.09,0.49
classic,159,1.239,2.852,3.323,0.101,0.553
classic,160,1.011,3.765,3.279,0.138,0.423
classic,161,1.164,2.788,4.385,0.11,0.741
classic,162,1.156,3.431,4.565,0.125,0.568
classic,163,1.005,2.77,4.132,0.092,0.553
classic,164,1.14,2.519,3.779,0.089,0.706
classic,165,1.067,3.629,3.601,0.118,0.514
classic,166,1.1,3.525,3.676,0.152,0.45
classic,167,1.101,2.705,3.789,0.101,0.634
classic,168,1.09,2.921,4.636,0.172,0.588
classic,169,1.067,2.81,3.959,0.13,0.531
classic,170,1.346,3.502,4.535,0.117,0.608
classic,171,1.359,3.597,4.311,0.115,0.67
classic,172,1.231,2.992,4.237,0.139,0.585
classic,173,1.233,2.89,4.129,0.144,0.605
classic,174,1.243,3.352,4.128,0.145,0.445
classic,175,1.074,3.083,4.527,0.15,0.44
classic,176,1.179,3.905,4.186,0.237,0.652
classic,177,1.099,3.622,3.87,0.143,0.554
classic,178,1.124,2.816,3.987,0.107,0.534
classic,179,1.204,3.411,4.156,0.109,0.629
classic,180,1.076,3.438,3.791,0.134,0.534
classic,181,1.203,3.634,3.872,0.124,0.73
classic,182,1.065,2.916,3.721,0.123,0.471
classic,183,1.07,3.197,3.675,0.119,0.687
classic,184,0.986,3.312,3.754,0.099,0.867
classic,185,0.877,3.355,3.641,0.106,0.605
classic,186,1.004,3.281,4.022,0.147,0.644
classic,187,2.252,2.761,3.466,0.119,0.614
classic,188,0.963,2.401,3.451,0.124,0.531
classic,189,0.907,2.695,4.614,0.128,0.638
classic,190,0.993,3.674,4.48,0.139,0.532
classic,191,1.019,2.812,4.091,0.167,0.552
classic,192,0.957,3.384,3.409,0.146,0.524
classic,193,0.953,3.035,4.528,0.097,0.67
classic,194,0.943,2.447,4.23,0.13,0.602
classic,195,0.725,3.009,4.112,0.123,0.718
classic,196,0.696,3.522,4.747,0.155,0.602
classic,197,0.736,2.683,3.206,0.111,0.45
classic,198,0.641,2.758,3.455,0.116,0.508
classic,199,0.697,2.745,2.911,0.091,0.48
classic,200,0.77,2.817,3.549,0.119,0.451
